#Time 	Sensor1         Sensor2         Target          Time            Vel             
#================================================================

17      	30.24, -14.04, -7.74 	0.02, 0.08, -6.68 	-6.43, 7.66 	13,22,59,350		0.00,0.00	0,0 	0
24      	30.23, -14.04, -7.75 	0.02, 0.10, -6.67 	-6.43, 7.66 	13,22,59,359		1.38,3.05	0,0 	0
33      	30.19, -14.06, -7.76 	-0.03, 0.10, -6.68 	-6.43, 7.66 	13,22,59,369		4.89,5.35	0,0 	0
42      	30.18, -14.06, -7.74 	-0.01, 0.10, -6.68 	-6.43, 7.66 	13,22,59,379		1.07,2.14	0,0 	0
50      	30.24, -14.09, -7.73 	-0.05, 0.12, -6.68 	-6.43, 7.66 	13,22,59,388		8.25,5.54	0,0 	0
60      	30.27, -14.06, -7.73 	-0.03, 0.11, -6.67 	-6.43, 7.66 	13,22,59,399		4.31,2.22	0,0 	0
68      	30.23, -14.07, -7.74 	-0.03, 0.12, -6.68 	-6.43, 7.66 	13,22,59,408		5.00,1.34	0,0 	0
76      	30.23, -14.08, -7.74 	-0.02, 0.12, -6.67 	-6.43, 7.66 	13,22,59,417		1.33,1.20	0,0 	0
86      	30.24, -14.11, -7.73 	-0.01, 0.13, -6.66 	-6.43, 7.66 	13,22,59,428		3.34,1.43	0,0 	0
94      	30.24, -14.12, -7.73 	0.01, 0.12, -6.66 	-6.43, 7.66 	13,22,59,437		1.33,2.77	0,0 	0
102     	30.24, -14.11, -7.73 	0.02, 0.11, -6.65 	-6.43, 7.66 	13,22,59,446		1.33,1.81	0,0 	0
111     	30.23, -14.10, -7.74 	0.01, 0.12, -6.65 	-6.43, 7.66 	13,22,59,456		1.60,1.61	0,0 	0
120     	30.23, -14.08, -7.73 	0.03, 0.12, -6.64 	-6.43, 7.66 	13,22,59,466		2.37,2.14	0,0 	0
129     	30.27, -14.09, -7.73 	0.02, 0.14, -6.66 	-6.43, 7.66 	13,22,59,476		5.48,2.62	0,0 	0
137     	30.27, -14.09, -7.73 	0.02, 0.14, -6.67 	-6.43, 7.66 	13,22,59,485		1.20,0.00	0,0 	0
146     	30.27, -14.12, -7.71 	0.02, 0.15, -6.65 	-6.43, 7.66 	13,22,59,495		3.71,1.19	0,0 	0
155     	30.32, -14.08, -7.71 	0.03, 0.14, -6.65 	-6.43, 7.66 	13,22,59,505		7.15,1.61	0,0 	0
163     	30.32, -14.08, -7.71 	-0.01, 0.12, -6.64 	-6.43, 7.66 	13,22,59,514		0.00,5.47	0,0 	0
172     	30.32, -14.06, -7.71 	0.01, 0.13, -6.64 	-6.43, 7.66 	13,22,59,524		2.37,2.43	0,0 	0
181     	30.31, -14.06, -7.71 	0.02, 0.11, -6.64 	-6.43, 7.66 	13,22,59,534		1.07,2.62	0,0 	0
189     	30.31, -14.07, -7.71 	0.03, 0.12, -6.64 	-6.43, 7.66 	13,22,59,543		1.33,1.78	0,0 	0
198     	30.31, -14.06, -7.72 	-0.01, 0.14, -6.66 	-6.43, 7.66 	13,22,59,553		1.18,4.92	0,0 	0
207     	30.30, -14.07, -7.72 	-0.01, 0.13, -6.64 	-6.43, 7.66 	13,22,59,563		1.60,1.19	0,0 	0
215     	30.33, -14.04, -7.75 	-0.01, 0.13, -6.64 	-6.43, 7.66 	13,22,59,572		5.39,0.00	0,0 	0
224     	30.31, -14.00, -7.73 	-0.00, 0.13, -6.65 	-6.43, 7.66 	13,22,59,582		4.15,1.07	0,0 	0
233     	30.31, -14.00, -7.73 	0.01, 0.12, -6.65 	-6.43, 7.66 	13,22,59,592		0.00,1.61	0,0 	0
241     	30.35, -14.00, -7.73 	-0.03, 0.12, -6.65 	-6.43, 7.66 	13,22,59,601		4.82,4.81	0,0 	0
251     	30.36, -14.02, -7.73 	-0.04, 0.12, -6.66 	-6.43, 7.66 	13,22,59,612		1.44,0.96	0,0 	0
259     	30.41, -13.99, -7.72 	-0.03, 0.13, -6.65 	-6.43, 7.66 	13,22,59,621		6.59,1.78	0,0 	0
267     	30.41, -14.02, -7.73 	-0.02, 0.13, -6.65 	-6.43, 7.66 	13,22,59,630		2.66,1.20	0,0 	0
276     	30.40, -13.99, -7.72 	-0.01, 0.12, -6.64 	-6.43, 7.66 	13,22,59,640		2.60,1.61	0,0 	0
285     	30.40, -14.00, -7.72 	-0.06, 0.13, -6.64 	-6.43, 7.66 	13,22,59,650		1.18,5.49	0,0 	0
293     	30.37, -14.02, -7.71 	-0.04, 0.14, -6.66 	-6.43, 7.66 	13,22,59,659		3.85,2.73	0,0 	0
302     	30.36, -14.02, -7.71 	-0.02, 0.14, -6.64 	-6.43, 7.66 	13,22,59,669		1.07,2.14	0,0 	0
311     	30.35, -14.03, -7.73 	-0.03, 0.13, -6.65 	-6.43, 7.66 	13,22,59,679		1.60,1.59	0,0 	0
320     	30.37, -13.99, -7.73 	-0.01, 0.14, -6.64 	-6.43, 7.66 	13,22,59,689		4.15,2.43	0,0 	0
328     	30.41, -13.99, -7.74 	-0.01, 0.15, -6.66 	-6.43, 7.66 	13,22,59,698		4.82,1.34	0,0 	0
337     	30.41, -13.99, -7.74 	-0.04, 0.14, -6.66 	-6.43, 7.66 	13,22,59,708		0.00,3.40	0,0 	0
346     	30.41, -13.99, -7.74 	-0.01, 0.15, -6.66 	-6.43, 7.66 	13,22,59,718		0.00,3.40	0,0 	0
354     	30.36, -14.09, -7.73 	-0.04, 0.14, -6.66 	-6.43, 7.66 	13,22,59,727		13.42,3.83	0,0 	0
363     	30.35, -14.09, -7.73 	-0.07, 0.16, -6.65 	-6.43, 7.66 	13,22,59,737		1.07,4.02	0,0 	0
372     	30.34, -14.07, -7.74 	-0.07, 0.18, -6.67 	-6.43, 7.66 	13,22,59,747		2.60,2.38	0,0 	0
380     	30.35, -14.10, -7.73 	-0.09, 0.17, -6.65 	-6.43, 7.66 	13,22,59,756		4.17,2.73	0,0 	0
389     	30.35, -14.10, -7.74 	-0.07, 0.17, -6.67 	-6.43, 7.66 	13,22,59,766		0.00,2.14	0,0 	0
398     	30.40, -14.11, -7.74 	-0.04, 0.20, -6.67 	-6.43, 7.66 	13,22,59,776		5.48,3.96	0,0 	0
406     	30.43, -14.08, -7.75 	-0.04, 0.20, -6.67 	-6.43, 7.66 	13,22,59,785		5.39,0.00	0,0 	0
415     	30.43, -14.07, -7.75 	-0.09, 0.23, -6.68 	-6.43, 7.66 	13,22,59,795		1.18,6.47	0,0 	0
424     	30.43, -14.08, -7.75 	-0.09, 0.23, -6.67 	-6.43, 7.66 	13,22,59,805		1.18,0.00	0,0 	0
432     	30.43, -14.08, -7.76 	-0.06, 0.24, -6.66 	-6.43, 7.66 	13,22,59,814		0.00,3.83	0,0 	0
441     	30.43, -14.08, -7.76 	-0.08, 0.24, -6.67 	-6.43, 7.66 	13,22,59,824		0.00,2.14	0,0 	0
450     	30.44, -14.09, -7.73 	-0.07, 0.24, -6.66 	-6.43, 7.66 	13,22,59,834		1.60,1.07	0,0 	0
458     	30.41, -14.11, -7.73 	-0.10, 0.25, -6.66 	-6.43, 7.66 	13,22,59,843		4.49,3.87	0,0 	0
468     	30.41, -14.11, -7.75 	-0.05, 0.26, -6.67 	-6.43, 7.66 	13,22,59,854		0.00,4.91	0,0 	0
476     	30.40, -14.11, -7.75 	-0.03, 0.28, -6.68 	-6.43, 7.66 	13,22,59,863		1.20,3.57	0,0 	0
485     	30.43, -14.08, -7.75 	-0.10, 0.26, -6.67 	-6.43, 7.66 	13,22,59,873		4.79,7.82	0,0 	0
493     	30.43, -14.08, -7.76 	-0.08, 0.26, -6.66 	-6.43, 7.66 	13,22,59,882		0.00,2.41	0,0 	0
502     	30.48, -14.09, -7.76 	-0.09, 0.25, -6.66 	-6.43, 7.66 	13,22,59,892		5.48,1.59	0,0 	0
511     	30.48, -14.09, -7.75 	-0.13, 0.27, -6.68 	-6.43, 7.66 	13,22,59,902		0.00,4.92	0,0 	0
519     	30.48, -14.09, -7.75 	-0.08, 0.27, -6.67 	-6.43, 7.66 	13,22,59,911		0.00,6.02	0,0 	0
528     	30.48, -14.09, -7.76 	-0.12, 0.27, -6.67 	-6.43, 7.66 	13,22,59,921		0.00,4.28	0,0 	0
537     	30.45, -14.11, -7.75 	-0.07, 0.27, -6.67 	-6.43, 7.66 	13,22,59,931		3.99,5.35	0,0 	0
545     	30.45, -14.11, -7.75 	-0.13, 0.27, -6.66 	-6.43, 7.66 	13,22,59,940		0.00,7.22	0,0 	0
554     	30.45, -14.10, -7.75 	-0.11, 0.27, -6.66 	-6.43, 7.66 	13,22,59,950		1.18,2.14	0,0 	0
563     	30.46, -14.13, -7.73 	-0.13, 0.27, -6.66 	-6.43, 7.66 	13,22,59,960		3.71,2.14	0,0 	0
571     	30.46, -14.14, -7.73 	-0.13, 0.27, -6.66 	-6.43, 7.66 	13,22,59,969		1.33,0.00	0,0 	0
580     	30.46, -14.14, -7.74 	-0.13, 0.29, -6.66 	-6.43, 7.66 	13,22,59,979		0.00,2.38	0,0 	0
589     	30.47, -14.14, -7.74 	-0.14, 0.28, -6.64 	-6.43, 7.66 	13,22,59,989		1.07,1.59	0,0 	0
597     	30.45, -14.13, -7.72 	-0.17, 0.28, -6.64 	-6.43, 7.66 	13,22,59,998		2.75,3.61	0,0 	0
606     	30.48, -14.12, -7.73 	-0.13, 0.28, -6.66 	-6.43, 7.66 	13,23,0,8		3.42,4.28	0,0 	0
615     	30.48, -14.12, -7.73 	-0.16, 0.26, -6.66 	-6.43, 7.66 	13,23,0,18		0.00,3.96	0,0 	0
623     	30.49, -14.16, -7.71 	-0.12, 0.27, -6.66 	-6.43, 7.66 	13,23,0,27		5.46,4.97	0,0 	0
633     	30.53, -14.14, -7.71 	-0.15, 0.27, -6.66 	-6.43, 7.66 	13,23,0,38		5.27,2.89	0,0 	0
641     	30.45, -14.14, -7.71 	-0.19, 0.29, -6.66 	-6.43, 7.66 	13,23,0,47		10.84,5.54	0,0 	0
649     	30.45, -14.15, -7.71 	-0.15, 0.28, -6.65 	-6.43, 7.66 	13,23,0,56		1.33,5.01	0,0 	0
658     	30.45, -14.15, -7.71 	-0.18, 0.26, -6.64 	-6.43, 7.66 	13,23,0,66		0.00,3.96	0,0 	0
667     	30.45, -14.15, -7.71 	-0.18, 0.27, -6.66 	-6.43, 7.66 	13,23,0,76		0.00,1.19	0,0 	0
676     	30.44, -14.11, -7.73 	-0.18, 0.27, -6.66 	-6.43, 7.66 	13,23,0,86		4.85,0.00	0,0 	0
684     	30.44, -14.12, -7.74 	-0.18, 0.27, -6.66 	-6.43, 7.66 	13,23,0,95		1.33,0.00	0,0 	0
693     	30.43, -14.15, -7.71 	-0.18, 0.29, -6.66 	-6.43, 7.66 	13,23,0,105		3.71,2.38	0,0 	0
702     	30.48, -14.15, -7.71 	-0.17, 0.30, -6.65 	-6.43, 7.66 	13,23,0,115		5.35,1.59	0,0 	0
710     	30.47, -14.15, -7.71 	-0.17, 0.30, -6.65 	-6.43, 7.66 	13,23,0,124		1.20,0.00	0,0 	0
719     	30.44, -14.15, -7.71 	-0.17, 0.29, -6.64 	-6.43, 7.66 	13,23,0,134		3.21,1.19	0,0 	0
728     	30.43, -14.14, -7.71 	-0.18, 0.30, -6.66 	-6.43, 7.66 	13,23,0,144		1.60,1.61	0,0 	0
736     	30.43, -14.15, -7.71 	-0.19, 0.30, -6.65 	-6.43, 7.66 	13,23,0,153		1.33,1.20	0,0 	0
745     	30.43, -14.15, -7.71 	-0.17, 0.29, -6.65 	-6.43, 7.66 	13,23,0,163		0.00,2.46	0,0 	0
754     	30.42, -14.11, -7.72 	-0.17, 0.29, -6.65 	-6.43, 7.66 	13,23,0,173		4.85,0.00	0,0 	0
762     	30.42, -14.12, -7.72 	-0.17, 0.29, -6.65 	-6.43, 7.66 	13,23,0,182		1.33,0.00	0,0 	0
771     	30.42, -14.11, -7.72 	-0.17, 0.32, -6.64 	-6.43, 7.66 	13,23,0,192		1.18,3.56	0,0 	0
