#Time 	Sensor1         Sensor2         Target          Time            Vel             
#================================================================

11      	30.53, -12.61, -8.24 	-0.43, 0.96, -6.65 	-8.66, 5.00 	13,21,38,66		0.00,0.00	0,0 	0
15      	30.54, -12.64, -8.24 	-0.39, 0.96, -6.65 	-8.66, 5.00 	13,21,38,75		8.34,9.62	0,0 	0
24      	30.53, -12.64, -8.24 	-0.41, 0.97, -6.65 	-8.66, 5.00 	13,21,38,85		1.07,2.46	0,0 	0
33      	30.56, -12.64, -8.24 	-0.44, 0.98, -6.64 	-8.66, 5.00 	13,21,38,95		3.21,3.44	0,0 	0
41      	30.54, -12.65, -8.24 	-0.46, 0.97, -6.64 	-8.66, 5.00 	13,21,38,104		2.75,2.73	0,0 	0
49      	30.53, -12.66, -8.24 	-0.51, 0.97, -6.64 	-8.66, 5.00 	13,21,38,113		1.80,6.02	0,0 	0
59      	30.52, -12.66, -8.24 	-0.48, 0.96, -6.64 	-8.66, 5.00 	13,21,38,124		0.96,3.09	0,0 	0
67      	30.50, -12.69, -8.24 	-0.48, 0.95, -6.64 	-8.66, 5.00 	13,21,38,133		4.67,1.34	0,0 	0
76      	30.50, -12.68, -8.25 	-0.51, 0.98, -6.64 	-8.66, 5.00 	13,21,38,143		1.18,4.83	0,0 	0
85      	30.47, -12.70, -8.24 	-0.48, 0.98, -6.65 	-8.66, 5.00 	13,21,38,153		3.99,3.21	0,0 	0
93      	30.48, -12.67, -8.25 	-0.49, 0.99, -6.65 	-8.66, 5.00 	13,21,38,162		4.17,1.81	0,0 	0
102     	30.51, -12.66, -8.25 	-0.50, 0.99, -6.65 	-8.66, 5.00 	13,21,38,172		3.42,1.07	0,0 	0
111     	30.50, -12.67, -8.24 	-0.49, 0.97, -6.64 	-8.66, 5.00 	13,21,38,182		1.60,2.62	0,0 	0
119     	30.50, -12.67, -8.24 	-0.52, 0.98, -6.65 	-8.66, 5.00 	13,21,38,191		0.00,3.87	0,0 	0
128     	30.49, -12.67, -8.23 	-0.50, 0.98, -6.64 	-8.66, 5.00 	13,21,38,201		1.07,2.14	0,0 	0
137     	30.47, -12.66, -8.24 	-0.54, 0.98, -6.64 	-8.66, 5.00 	13,21,38,211		2.45,4.28	0,0 	0
145     	30.47, -12.67, -8.24 	-0.53, 0.98, -6.64 	-8.66, 5.00 	13,21,38,220		1.33,1.20	0,0 	0
154     	30.48, -12.66, -8.23 	-0.55, 0.98, -6.64 	-8.66, 5.00 	13,21,38,230		1.60,2.14	0,0 	0
163     	30.47, -12.66, -8.23 	-0.56, 0.96, -6.64 	-8.66, 5.00 	13,21,38,240		1.07,2.59	0,0 	0
172     	30.51, -12.68, -8.23 	-0.55, 0.97, -6.63 	-8.66, 5.00 	13,21,38,250		4.89,1.59	0,0 	0
180     	30.50, -12.68, -8.22 	-0.54, 0.98, -6.64 	-8.66, 5.00 	13,21,38,259		1.20,1.78	0,0 	0
189     	30.51, -12.69, -8.21 	-0.53, 1.00, -6.63 	-8.66, 5.00 	13,21,38,269		1.60,2.59	0,0 	0
198     	30.53, -12.69, -8.21 	-0.53, 1.00, -6.65 	-8.66, 5.00 	13,21,38,279		2.14,0.00	0,0 	0
206     	30.51, -12.72, -8.22 	-0.50, 0.99, -6.65 	-8.66, 5.00 	13,21,38,288		3.59,3.87	0,0 	0
214     	30.52, -12.70, -8.21 	-0.55, 1.01, -6.65 	-8.66, 5.00 	13,21,38,297		1.80,6.62	0,0 	0
224     	30.52, -12.73, -8.20 	-0.54, 1.01, -6.65 	-8.66, 5.00 	13,21,38,308		2.13,0.96	0,0 	0
232     	30.49, -12.76, -8.20 	-0.58, 1.00, -6.65 	-8.66, 5.00 	13,21,38,317		5.39,6.14	0,0 	0
240     	30.48, -12.75, -8.20 	-0.57, 0.99, -6.64 	-8.66, 5.00 	13,21,38,326		1.80,2.77	0,0 	0
250     	30.46, -12.74, -8.22 	-0.58, 1.00, -6.65 	-8.66, 5.00 	13,21,38,337		2.20,2.22	0,0 	0
258     	30.50, -12.72, -8.22 	-0.59, 1.02, -6.66 	-8.66, 5.00 	13,21,38,346		5.51,2.95	0,0 	0
267     	30.50, -12.72, -8.23 	-0.58, 1.01, -6.66 	-8.66, 5.00 	13,21,38,356		0.00,1.61	0,0 	0
276     	30.51, -12.74, -8.22 	-0.58, 1.01, -6.66 	-8.66, 5.00 	13,21,38,366		2.60,0.00	0,0 	0
284     	30.51, -12.75, -8.22 	-0.58, 1.01, -6.66 	-8.66, 5.00 	13,21,38,375		1.33,0.00	0,0 	0
293     	30.53, -12.74, -8.22 	-0.58, 1.01, -6.67 	-8.66, 5.00 	13,21,38,385		2.45,1.07	0,0 	0
302     	30.52, -12.75, -8.22 	-0.56, 1.00, -6.66 	-8.66, 5.00 	13,21,38,395		1.60,2.46	0,0 	0
310     	30.52, -12.74, -8.21 	-0.59, 1.01, -6.65 	-8.66, 5.00 	13,21,38,404		1.33,5.01	0,0 	0
319     	30.51, -12.77, -8.20 	-0.59, 1.02, -6.66 	-8.66, 5.00 	13,21,38,414		3.71,1.19	0,0 	0
328     	30.51, -12.78, -8.21 	-0.59, 1.03, -6.65 	-8.66, 5.00 	13,21,38,424		1.18,1.19	0,0 	0
336     	30.50, -12.77, -8.22 	-0.58, 1.03, -6.66 	-8.66, 5.00 	13,21,38,433		1.79,2.41	0,0 	0
345     	30.50, -12.77, -8.22 	-0.58, 1.03, -6.66 	-8.66, 5.00 	13,21,38,443		0.00,0.00	0,0 	0
354     	30.51, -12.76, -8.21 	-0.59, 1.04, -6.66 	-8.66, 5.00 	13,21,38,453		1.60,1.61	0,0 	0
363     	30.51, -12.77, -8.21 	-0.57, 1.04, -6.65 	-8.66, 5.00 	13,21,38,463		1.18,2.14	0,0 	0
371     	30.54, -12.75, -8.21 	-0.57, 1.05, -6.65 	-8.66, 5.00 	13,21,38,472		4.49,1.34	0,0 	0
380     	30.55, -12.77, -8.20 	-0.57, 1.04, -6.65 	-8.66, 5.00 	13,21,38,482		2.60,1.19	0,0 	0
389     	30.56, -12.77, -8.18 	-0.57, 1.04, -6.65 	-8.66, 5.00 	13,21,38,492		1.07,0.00	0,0 	0
397     	30.57, -12.80, -8.19 	-0.57, 1.04, -6.64 	-8.66, 5.00 	13,21,38,501		4.17,0.00	0,0 	0
405     	30.58, -12.77, -8.17 	-0.59, 1.05, -6.65 	-8.66, 5.00 	13,21,38,510		4.67,3.87	0,0 	0
415     	30.57, -12.75, -8.17 	-0.59, 1.05, -6.65 	-8.66, 5.00 	13,21,38,521		2.87,0.00	0,0 	0
423     	30.57, -12.75, -8.18 	-0.59, 1.04, -6.64 	-8.66, 5.00 	13,21,38,530		0.00,1.81	0,0 	0
432     	30.58, -12.75, -8.18 	-0.59, 1.07, -6.66 	-8.66, 5.00 	13,21,38,540		1.07,2.38	0,0 	0
