#Time 	Sensor1         Sensor2         Target          Time            Vel             
#================================================================

11      	29.90, -15.47, -7.15 	-0.37, 0.35, -6.62 	10.26, 28.19 	13,21,57,581		0.00,0.00	0,0 	0
19      	29.88, -15.49, -7.15 	-0.36, 0.35, -6.64 	10.26, 28.19 	13,21,57,591		2.75,1.20	0,0 	0
28      	29.86, -15.50, -7.16 	-0.37, 0.36, -6.63 	10.26, 28.19 	13,21,57,601		2.45,1.61	0,0 	0
36      	29.88, -15.50, -7.16 	-0.36, 0.36, -6.65 	10.26, 28.19 	13,21,57,610		2.41,1.20	0,0 	0
45      	29.88, -15.52, -7.15 	-0.36, 0.36, -6.64 	10.26, 28.19 	13,21,57,620		2.37,0.00	0,0 	0
54      	29.88, -15.53, -7.14 	-0.37, 0.38, -6.64 	10.26, 28.19 	13,21,57,630		1.18,2.62	0,0 	0
62      	29.91, -15.53, -7.14 	-0.36, 0.38, -6.64 	10.26, 28.19 	13,21,57,639		3.61,1.20	0,0 	0
71      	29.90, -15.52, -7.15 	-0.36, 0.37, -6.64 	10.26, 28.19 	13,21,57,649		1.60,1.19	0,0 	0
80      	29.92, -15.53, -7.14 	-0.38, 0.38, -6.64 	10.26, 28.19 	13,21,57,659		2.45,2.46	0,0 	0
88      	29.93, -15.55, -7.14 	-0.36, 0.36, -6.63 	10.26, 28.19 	13,21,57,668		2.92,3.62	0,0 	0
97      	29.94, -15.53, -7.14 	-0.39, 0.39, -6.64 	10.26, 28.19 	13,21,57,678		2.60,4.83	0,0 	0
106     	29.94, -15.54, -7.14 	-0.40, 0.37, -6.63 	10.26, 28.19 	13,21,57,688		1.18,2.59	0,0 	0
114     	29.93, -15.54, -7.13 	-0.40, 0.38, -6.63 	10.26, 28.19 	13,21,57,697		1.20,1.34	0,0 	0
123     	29.91, -15.57, -7.12 	-0.41, 0.39, -6.64 	10.26, 28.19 	13,21,57,707		4.15,1.61	0,0 	0
132     	29.91, -15.57, -7.12 	-0.41, 0.41, -6.63 	10.26, 28.19 	13,21,57,717		0.00,2.38	0,0 	0
141     	29.91, -15.59, -7.12 	-0.42, 0.42, -6.64 	10.26, 28.19 	13,21,57,727		2.37,1.61	0,0 	0
149     	29.92, -15.59, -7.12 	-0.38, 0.41, -6.63 	10.26, 28.19 	13,21,57,736		1.20,5.01	0,0 	0
158     	29.92, -15.57, -7.15 	-0.37, 0.41, -6.62 	10.26, 28.19 	13,21,57,746		2.37,1.07	0,0 	0
