#Time 	Sensor1         Sensor2         Target          Time            Vel             
#================================================================

10      	30.06, -15.06, -7.37 	-0.32, 0.73, -6.65 	-6.84, 18.79 	13,20,47,117		0.00,0.00	0,0 	0
14      	30.08, -15.05, -7.37 	-0.32, 0.73, -6.67 	-6.84, 18.79 	13,20,47,126		5.51,0.00	0,0 	0
23      	30.09, -15.06, -7.37 	-0.35, 0.72, -6.66 	-6.84, 18.79 	13,20,47,136		1.60,3.40	0,0 	0
32      	30.10, -15.05, -7.35 	-0.37, 0.73, -6.66 	-6.84, 18.79 	13,20,47,146		1.60,2.46	0,0 	0
40      	30.08, -15.06, -7.36 	-0.38, 0.72, -6.65 	-6.84, 18.79 	13,20,47,155		2.75,1.78	0,0 	0
49      	30.06, -15.10, -7.36 	-0.37, 0.75, -6.66 	-6.84, 18.79 	13,20,47,165		5.20,3.71	0,0 	0
58      	30.08, -15.12, -7.33 	-0.35, 0.75, -6.65 	-6.84, 18.79 	13,20,47,175		3.19,2.14	0,0 	0
66      	30.06, -15.15, -7.34 	-0.35, 0.73, -6.64 	-6.84, 18.79 	13,20,47,184		4.67,2.67	0,0 	0
75      	30.07, -15.14, -7.34 	-0.34, 0.72, -6.63 	-6.84, 18.79 	13,20,47,194		1.60,1.61	0,0 	0
84      	30.06, -15.14, -7.34 	-0.32, 0.71, -6.63 	-6.84, 18.79 	13,20,47,204		1.07,2.46	0,0 	0
93      	30.06, -15.13, -7.33 	-0.35, 0.73, -6.64 	-6.84, 18.79 	13,20,47,214		1.18,4.02	0,0 	0
101     	30.09, -15.10, -7.34 	-0.33, 0.72, -6.63 	-6.84, 18.79 	13,20,47,223		5.39,2.77	0,0 	0
110     	30.08, -15.12, -7.34 	-0.31, 0.73, -6.64 	-6.84, 18.79 	13,20,47,233		2.60,2.43	0,0 	0
119     	30.08, -15.12, -7.34 	-0.33, 0.74, -6.66 	-6.84, 18.79 	13,20,47,243		0.00,2.46	0,0 	0
127     	30.10, -15.09, -7.36 	-0.32, 0.75, -6.67 	-6.84, 18.79 	13,20,47,252		4.67,1.78	0,0 	0
136     	30.08, -15.10, -7.35 	-0.35, 0.75, -6.67 	-6.84, 18.79 	13,20,47,262		2.45,3.21	0,0 	0
145     	30.10, -15.11, -7.34 	-0.32, 0.76, -6.66 	-6.84, 18.79 	13,20,47,272		2.45,3.40	0,0 	0
153     	30.10, -15.12, -7.35 	-0.31, 0.76, -6.65 	-6.84, 18.79 	13,20,47,281		1.33,1.20	0,0 	0
162     	30.11, -15.13, -7.34 	-0.33, 0.75, -6.67 	-6.84, 18.79 	13,20,47,291		1.60,2.43	0,0 	0
171     	30.09, -15.14, -7.35 	-0.34, 0.76, -6.68 	-6.84, 18.79 	13,20,47,301		2.45,1.61	0,0 	0
179     	30.09, -15.17, -7.36 	-0.33, 0.76, -6.67 	-6.84, 18.79 	13,20,47,310		2.66,1.20	0,0 	0
188     	30.10, -15.13, -7.36 	-0.37, 0.76, -6.67 	-6.84, 18.79 	13,20,47,320		3.71,4.28	0,0 	0
197     	30.10, -15.14, -7.35 	-0.35, 0.76, -6.66 	-6.84, 18.79 	13,20,47,330		1.18,2.14	0,0 	0
205     	30.09, -15.18, -7.34 	-0.34, 0.76, -6.67 	-6.84, 18.79 	13,20,47,339		4.17,1.20	0,0 	0
214     	30.11, -15.15, -7.34 	-0.34, 0.75, -6.65 	-6.84, 18.79 	13,20,47,349		3.19,1.19	0,0 	0
223     	30.10, -15.15, -7.34 	-0.36, 0.75, -6.67 	-6.84, 18.79 	13,20,47,359		1.07,2.14	0,0 	0
231     	30.11, -15.14, -7.34 	-0.35, 0.74, -6.66 	-6.84, 18.79 	13,20,47,368		1.80,1.81	0,0 	0
240     	30.07, -15.15, -7.34 	-0.33, 0.73, -6.66 	-6.84, 18.79 	13,20,47,378		4.44,2.46	0,0 	0
249     	30.09, -15.14, -7.35 	-0.32, 0.75, -6.67 	-6.84, 18.79 	13,20,47,388		2.45,2.59	0,0 	0
258     	30.11, -15.13, -7.35 	-0.36, 0.76, -6.66 	-6.84, 18.79 	13,20,47,398		2.45,4.46	0,0 	0
266     	30.11, -15.15, -7.34 	-0.34, 0.76, -6.67 	-6.84, 18.79 	13,20,47,407		2.66,2.41	0,0 	0
274     	30.11, -15.17, -7.35 	-0.35, 0.76, -6.67 	-6.84, 18.79 	13,20,47,416		1.33,1.20	0,0 	0
284     	30.10, -15.15, -7.34 	-0.33, 0.79, -6.69 	-6.84, 18.79 	13,20,47,427		1.44,2.86	0,0 	0
292     	30.12, -15.14, -7.36 	-0.33, 0.77, -6.69 	-6.84, 18.79 	13,20,47,436		2.75,1.34	0,0 	0
301     	30.12, -15.14, -7.36 	-0.36, 0.80, -6.69 	-6.84, 18.79 	13,20,47,446		0.00,4.02	0,0 	0
310     	30.12, -15.14, -7.36 	-0.35, 0.79, -6.70 	-6.84, 18.79 	13,20,47,456		0.00,1.61	0,0 	0
318     	30.11, -15.17, -7.37 	-0.33, 0.77, -6.68 	-6.84, 18.79 	13,20,47,465		2.92,2.77	0,0 	0
327     	30.12, -15.14, -7.35 	-0.37, 0.80, -6.68 	-6.84, 18.79 	13,20,47,475		2.60,4.92	0,0 	0
336     	30.11, -15.14, -7.36 	-0.37, 0.80, -6.68 	-6.84, 18.79 	13,20,47,485		1.07,0.00	0,0 	0
344     	30.07, -15.17, -7.36 	-0.36, 0.80, -6.69 	-6.84, 18.79 	13,20,47,494		5.51,1.20	0,0 	0
353     	30.07, -15.17, -7.36 	-0.36, 0.80, -6.71 	-6.84, 18.79 	13,20,47,504		0.00,0.00	0,0 	0
362     	30.04, -15.13, -7.36 	-0.35, 0.81, -6.71 	-6.84, 18.79 	13,20,47,514		4.79,1.59	0,0 	0
370     	30.06, -15.18, -7.36 	-0.34, 0.80, -6.71 	-6.84, 18.79 	13,20,47,523		5.84,1.81	0,0 	0
379     	30.06, -15.17, -7.35 	-0.32, 0.81, -6.71 	-6.84, 18.79 	13,20,47,533		1.18,2.43	0,0 	0
388     	30.04, -15.19, -7.35 	-0.37, 0.81, -6.71 	-6.84, 18.79 	13,20,47,543		3.19,5.35	0,0 	0
396     	30.06, -15.18, -7.36 	-0.37, 0.80, -6.71 	-6.84, 18.79 	13,20,47,552		2.75,1.34	0,0 	0
405     	30.06, -15.18, -7.36 	-0.36, 0.81, -6.71 	-6.84, 18.79 	13,20,47,562		0.00,1.59	0,0 	0
414     	30.04, -15.17, -7.36 	-0.35, 0.80, -6.71 	-6.84, 18.79 	13,20,47,572		2.45,1.61	0,0 	0
422     	30.03, -15.21, -7.34 	-0.37, 0.78, -6.69 	-6.84, 18.79 	13,20,47,581		5.46,3.57	0,0 	0
